"ID";"Name";"Prerequisites";"Score"
"1.1";"1.1. ვექტორები და სკალარები";;0.95
"1.2";"1.2. ვექტორული ჯამი";"1.1";0.91
"1.3";"1.3. ვექტორის კომპონენტები";"1.1, 1.2";0.92
"2.1";"2.1. გავლილი მანძილი vs გადაადგილება";"1.1";0.93
"2.2";"2.2. საშუალო სიჩქარე და სისწრაფე";"2.1";0.90
"2.3";"2.3. ათვლის სისტემები";"2.2";0.94
"2.4";"2.4. აჩქარება";"2.2";0.91
"2.5";"2.5. კიდევ ერთი ფორმულა მუდმივი აჩქარებისთვის";"2.2, 2.4";0.72
"3.1";"3.1. მოძრაობის სახეები";"2.1, 2.2, 2.4";0.90
"3.2";"3.2. მოძრაობის სახეები მათემატიკურად";"3.1, 2.5";0.50
"3.3";"3.3. კუთხით გასროლილი სხეული";"1.3, 3.2";0.40
"3.4";"3.4. წრიული მოძრაობა 1";"1.2, 2.2, 2.4";0.92
"3.5";"3.5. წრიული მოძრაობა 2";"3.4";0.94
"3.6";"3.6. მოძრაობის სახეები: გრაფიკები";"3.1, 3.2";0.67
"4.1";"4.1. ნიუტონის პირველი კანონი";"1.1, 1.2";"0.92"
"4.2";"4.2. ნიუტონის მეორე კანონი";"1.1, 2.4";"0.93"
"4.3";"4.3. ნიუტონის მეორე კანონის მაგალითი";"4.2";"0.91"
"4.4";"4.4. ნიუტონის მეორე კანონის კიდევ ერთი მაგალითი";"4.2";"0.95"
"5.1";"5.1. გრავიტაცია";"2.4, 4.2";"0.93"
"5.2";"5.2. R კვადრატის უკუპროპორციულობა გრავიტაციაში";"5.1";"0.91"
"5.3";"5.3. გრავიტაციის მაგალითები";"5.1";"0.90"
"5.4";"5.4. გრავიტაცია და ნიუტონის მეორე კანონი";"5.1, 4.2";"0.98"
"5.5";"5.5. ხახუნის ძალა";"1.1, 1.3, 5.1";"0.97"
"5.6";"5.6. დრეკადობის ძალა";"1.1, 1.3, 4.1, 5.1";"0.95"
"5.7";"5.7. ნიუტონის მესამე კანონი";"1.1";"0.91"
"6.1";"6.1. ძალის მომენტი";"1.1, 5.1";"0.92"
"6.2";"6.2. ძალის მომენტის განზოგადება";"1.3, 6.1";"0.93"
"6.3";"6.3. ჭოჭონაქები 1";"4.2, 5.1";"0.94"
"6.4";"6.4. ჭოჭონაქები 2";"6.3";"0.95"
